Date,카카오,NAVER,삼성전자,SK하이닉스,현대모비스,현대자동차,LG화학,SK이노베이션
2019-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-02,20400.0,118000.0,38750.0,60600.0,185000.0,114000.0,337000.0,169000.0
2019-01-03,20500.0,122000.0,37600.0,57700.0,192000.0,116500.0,328000.0,166500.0
2019-01-04,20700.0,125500.0,37450.0,58300.0,199500.0,119500.0,330500.0,169000.0
2019-01-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-07,20600.0,131500.0,38750.0,58700.0,198500.0,120500.0,343000.0,174000.0
2019-01-08,19980.0,130000.0,38100.0,59200.0,193000.0,119500.0,349500.0,177000.0
2019-01-09,20400.0,133000.0,39600.0,63600.0,202500.0,123000.0,352000.0,180000.0
2019-01-10,20200.0,131000.0,39800.0,65300.0,196000.0,123000.0,347000.0,181500.0
2019-01-11,20400.0,131000.0,40500.0,65100.0,196500.0,123000.0,349000.0,179500.0
2019-01-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-14,20000.0,127000.0,40050.0,62100.0,195000.0,121500.0,350500.0,178000.0
2019-01-15,19980.0,132500.0,41100.0,64000.0,202000.0,127500.0,356000.0,180000.0
2019-01-16,20000.0,132500.0,41450.0,64800.0,200000.0,128500.0,366000.0,178500.0
2019-01-17,19700.0,136000.0,41950.0,64900.0,207000.0,129500.0,360000.0,182500.0
2019-01-18,19920.0,137500.0,42300.0,64600.0,210000.0,131000.0,368500.0,183500.0
2019-01-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-21,19760.0,131000.0,42750.0,67000.0,205000.0,127000.0,370000.0,181500.0
2019-01-22,20400.0,130000.0,42150.0,66600.0,205500.0,127500.0,366000.0,181500.0
2019-01-23,20500.0,132500.0,42000.0,66800.0,215000.0,129000.0,369000.0,180500.0
2019-01-24,20400.0,129500.0,43050.0,70500.0,214500.0,130000.0,367500.0,179500.0
2019-01-25,20500.0,130000.0,44750.0,74600.0,208500.0,128500.0,373500.0,185500.0
2019-01-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-01-28,20400.0,132000.0,45050.0,71800.0,217500.0,126500.0,374500.0,181000.0
2019-01-29,20400.0,136000.0,45500.0,73400.0,221000.0,128000.0,378000.0,185500.0
2019-01-30,19980.0,136000.0,46400.0,75900.0,224500.0,129500.0,379000.0,185500.0
2019-01-31,19860.0,136000.0,46150.0,73900.0,225000.0,129500.0,368000.0,188500.0
2019-02-01,19920.0,133500.0,46350.0,75900.0,224000.0,129500.0,368000.0,186000.0
2019-02-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-07,19800.0,129000.0,46200.0,76700.0,221000.0,126000.0,369500.0,185500.0
2019-02-08,19640.0,126000.0,44800.0,73500.0,218000.0,125500.0,370000.0,183500.0
2019-02-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-11,19120.0,125500.0,45000.0,74100.0,219500.0,127500.0,372000.0,185500.0
2019-02-12,19200.0,123500.0,46050.0,75900.0,222000.0,128500.0,371500.0,183500.0
2019-02-13,19620.0,125000.0,46200.0,76200.0,218500.0,124500.0,378000.0,184000.0
2019-02-14,20100.0,127500.0,47500.0,77400.0,218000.0,121500.0,380000.0,183500.0
2019-02-15,20300.0,127500.0,46050.0,73800.0,214000.0,121000.0,380000.0,182000.0
2019-02-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-18,20400.0,127000.0,46200.0,74700.0,210000.0,120500.0,391000.0,186500.0
2019-02-19,20000.0,126500.0,45950.0,73700.0,209000.0,119500.0,390000.0,188000.0
2019-02-20,19940.0,127000.0,46900.0,75700.0,210000.0,119000.0,394500.0,192000.0
2019-02-21,19780.0,129000.0,46950.0,76700.0,214500.0,120000.0,387500.0,188000.0
2019-02-22,19860.0,127000.0,47150.0,76700.0,213000.0,121000.0,383500.0,184000.0
2019-02-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-02-25,19660.0,126000.0,47350.0,75400.0,214000.0,121000.0,385500.0,184000.0
2019-02-26,20700.0,131500.0,46750.0,75200.0,213000.0,122500.0,386000.0,181000.0
2019-02-27,21000.0,129500.0,46750.0,73700.0,221000.0,129000.0,392000.0,188000.0
2019-02-28,20700.0,133000.0,45100.0,70000.0,220500.0,126500.0,390500.0,188000.0
2019-03-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-04,21700.0,138000.0,44850.0,70100.0,212500.0,122000.0,387000.0,183500.0
2019-03-05,21300.0,135500.0,44250.0,69700.0,210000.0,121500.0,373500.0,188000.0
2019-03-06,21100.0,137500.0,44000.0,68100.0,213000.0,124500.0,373000.0,192000.0
2019-03-07,20900.0,138500.0,44450.0,68100.0,210000.0,125500.0,366000.0,190000.0
2019-03-08,21500.0,133000.0,43800.0,66700.0,204000.0,120000.0,364500.0,192000.0
2019-03-09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-11,21200.0,133500.0,43650.0,66600.0,205500.0,121000.0,361000.0,188500.0
2019-03-12,20700.0,130500.0,44650.0,67700.0,208000.0,125500.0,365500.0,190000.0
2019-03-13,20800.0,130500.0,43850.0,66800.0,207000.0,122500.0,363000.0,186000.0
2019-03-14,21300.0,131000.0,43850.0,67300.0,200000.0,119000.0,370000.0,190000.0
2019-03-15,21500.0,130500.0,44200.0,68100.0,207000.0,121000.0,370500.0,192500.0
2019-03-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-18,21500.0,132000.0,43700.0,67800.0,213000.0,124000.0,366000.0,193000.0
2019-03-19,20500.0,130500.0,43900.0,68000.0,213000.0,124000.0,369500.0,195000.0
2019-03-20,20400.0,128500.0,44050.0,70500.0,215000.0,124000.0,363000.0,195500.0
2019-03-21,20500.0,128000.0,45850.0,75900.0,213500.0,124500.0,382000.0,195000.0
2019-03-22,20800.0,127000.0,46550.0,76100.0,214500.0,123500.0,379500.0,195500.0
2019-03-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-25,20400.0,126000.0,45500.0,72900.0,208000.0,120000.0,367000.0,191000.0
2019-03-26,20800.0,126500.0,45250.0,72700.0,210500.0,118500.0,366500.0,187500.0
2019-03-27,20500.0,123000.0,45350.0,73400.0,208000.0,118500.0,362500.0,188000.0
2019-03-28,20500.0,122000.0,44850.0,72300.0,209000.0,119500.0,361000.0,186500.0
2019-03-29,20700.0,124000.0,44650.0,74200.0,208500.0,119500.0,366000.0,179500.0
2019-03-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-03-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019-04-01,20600.0,124000.0,45050.0,76600.0,211000.0,120500.0,370500.0,181500.0
2019-04-02,20700.0,124500.0,45750.0,76400.0,207500.0,119000.0,372000.0,182500.0
2019-04-03,20500.0,122000.0,46600.0,79900.0,215500.0,124000.0,376500.0,184000.0
2019-04-04,20500.0,122500.0,46950.0,78400.0,218500.0,123500.0,376500.0,183500.0
2019-04-05,20500.0,123000.0,46850.0,79000.0,225000.0,126000.0,377500.0,185000.0
2019-04-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
